repository,config,mcc
aalaesar/install_nextcloud,config_0_0,0.53159
aalaesar/install_nextcloud,config_0_1,0.47954
aalaesar/install_nextcloud,config_0_2,0.47954
aalaesar/install_nextcloud,config_1_0,0.40947
aalaesar/install_nextcloud,config_1_1,0.47665
aalaesar/install_nextcloud,config_1_2,0.49292
aalaesar/install_nextcloud,config_2_0,0.45484
aalaesar/install_nextcloud,config_2_1,0.44184
aalaesar/install_nextcloud,config_2_2,0.4646
AlbanAndrieu/ansible-jenkins-slave,config_0_0,0.33688
AlbanAndrieu/ansible-jenkins-slave,config_0_1,0.38453
AlbanAndrieu/ansible-jenkins-slave,config_0_2,0.30553
AlbanAndrieu/ansible-jenkins-slave,config_1_0,0.39987
AlbanAndrieu/ansible-jenkins-slave,config_1_1,0.3857
AlbanAndrieu/ansible-jenkins-slave,config_1_2,0.38088
AlbanAndrieu/ansible-jenkins-slave,config_2_0,0.36428
AlbanAndrieu/ansible-jenkins-slave,config_2_1,0.38007
AlbanAndrieu/ansible-jenkins-slave,config_2_2,0.38099
AlexeySetevoi/ansible-clickhouse,config_0_0,100.000
AlexeySetevoi/ansible-clickhouse,config_0_1,100.000
AlexeySetevoi/ansible-clickhouse,config_0_2,100.000
AlexeySetevoi/ansible-clickhouse,config_1_0,0.4714
AlexeySetevoi/ansible-clickhouse,config_1_1,0.4714
AlexeySetevoi/ansible-clickhouse,config_1_2,0.4714
AlexeySetevoi/ansible-clickhouse,config_2_0,100.000
AlexeySetevoi/ansible-clickhouse,config_2_1,100.000
AlexeySetevoi/ansible-clickhouse,config_2_2,100.000
ansible-community/ansible-nomad,config_0_0,0.89497
ansible-community/ansible-nomad,config_0_1,0.88932
ansible-community/ansible-nomad,config_0_2,0.89637
ansible-community/ansible-nomad,config_1_0,0.81831
ansible-community/ansible-nomad,config_1_1,0.82241
ansible-community/ansible-nomad,config_1_2,0.81975
ansible-community/ansible-nomad,config_2_0,0.88254
ansible-community/ansible-nomad,config_2_1,0.88132
ansible-community/ansible-nomad,config_2_2,0.87938
ansible-community/ansible-vault,config_0_0,0.88889
ansible-community/ansible-vault,config_0_1,0.88889
ansible-community/ansible-vault,config_0_2,0.88889
ansible-community/ansible-vault,config_1_0,0.80556
ansible-community/ansible-vault,config_1_1,0.83333
ansible-community/ansible-vault,config_1_2,0.83333
ansible-community/ansible-vault,config_2_0,0.88889
ansible-community/ansible-vault,config_2_1,0.88889
ansible-community/ansible-vault,config_2_2,0.88889
ansible-lockdown/RHEL7-STIG,config_0_0,0.69543
ansible-lockdown/RHEL7-STIG,config_0_1,0.69543
ansible-lockdown/RHEL7-STIG,config_0_2,0.70411
ansible-lockdown/RHEL7-STIG,config_1_0,0.46958
ansible-lockdown/RHEL7-STIG,config_1_1,0.45803
ansible-lockdown/RHEL7-STIG,config_1_2,0.44324
ansible-lockdown/RHEL7-STIG,config_2_0,0.63851
ansible-lockdown/RHEL7-STIG,config_2_1,0.6296
ansible-lockdown/RHEL7-STIG,config_2_2,0.6296
ansible-ThoTeam/nexus3-oss,config_0_0,0.70651
ansible-ThoTeam/nexus3-oss,config_0_1,0.70582
ansible-ThoTeam/nexus3-oss,config_0_2,0.71943
ansible-ThoTeam/nexus3-oss,config_1_0,0.56646
ansible-ThoTeam/nexus3-oss,config_1_1,0.57027
ansible-ThoTeam/nexus3-oss,config_1_2,0.5596
ansible-ThoTeam/nexus3-oss,config_2_0,0.70518
ansible-ThoTeam/nexus3-oss,config_2_1,0.71541
ansible-ThoTeam/nexus3-oss,config_2_2,0.70547
ansistrano/deploy,config_0_0,0.48501
ansistrano/deploy,config_0_1,0.48609
ansistrano/deploy,config_0_2,0.49876
ansistrano/deploy,config_1_0,0.35585
ansistrano/deploy,config_1_1,0.39752
ansistrano/deploy,config_1_2,0.39738
ansistrano/deploy,config_2_0,0.38946
ansistrano/deploy,config_2_1,0.40735
ansistrano/deploy,config_2_2,0.41247
anthcourtney/ansible-role-cis-amazon-linux,config_0_0,0.40509
anthcourtney/ansible-role-cis-amazon-linux,config_0_1,0.41196
anthcourtney/ansible-role-cis-amazon-linux,config_0_2,0.41169
anthcourtney/ansible-role-cis-amazon-linux,config_1_0,0.16052
anthcourtney/ansible-role-cis-amazon-linux,config_1_1,0.1746
anthcourtney/ansible-role-cis-amazon-linux,config_1_2,0.16313
anthcourtney/ansible-role-cis-amazon-linux,config_2_0,0.44642
anthcourtney/ansible-role-cis-amazon-linux,config_2_1,0.38033
anthcourtney/ansible-role-cis-amazon-linux,config_2_2,0.38033
antoiner77/caddy-ansible,config_0_0,0.5966
antoiner77/caddy-ansible,config_0_1,0.5966
antoiner77/caddy-ansible,config_0_2,0.5966
