repository,config,rank
aalaesar/install_nextcloud,config_0_0,0.0
aalaesar/install_nextcloud,config_0_1,2.5
aalaesar/install_nextcloud,config_0_2,2.5
aalaesar/install_nextcloud,config_1_0,8.0
aalaesar/install_nextcloud,config_1_1,4.0
aalaesar/install_nextcloud,config_1_2,1.0
aalaesar/install_nextcloud,config_2_0,6.0
aalaesar/install_nextcloud,config_2_1,7.0
aalaesar/install_nextcloud,config_2_2,5.0
AlbanAndrieu/ansible-jenkins-slave,config_0_0,7.0
AlbanAndrieu/ansible-jenkins-slave,config_0_1,2.0
AlbanAndrieu/ansible-jenkins-slave,config_0_2,8.0
AlbanAndrieu/ansible-jenkins-slave,config_1_0,0.0
AlbanAndrieu/ansible-jenkins-slave,config_1_1,1.0
AlbanAndrieu/ansible-jenkins-slave,config_1_2,4.0
AlbanAndrieu/ansible-jenkins-slave,config_2_0,6.0
AlbanAndrieu/ansible-jenkins-slave,config_2_1,5.0
AlbanAndrieu/ansible-jenkins-slave,config_2_2,3.0
AlexeySetevoi/ansible-clickhouse,config_0_0,2.5
AlexeySetevoi/ansible-clickhouse,config_0_1,2.5
AlexeySetevoi/ansible-clickhouse,config_0_2,2.5
AlexeySetevoi/ansible-clickhouse,config_1_0,7.0
AlexeySetevoi/ansible-clickhouse,config_1_1,7.0
AlexeySetevoi/ansible-clickhouse,config_1_2,7.0
AlexeySetevoi/ansible-clickhouse,config_2_0,2.5
AlexeySetevoi/ansible-clickhouse,config_2_1,2.5
AlexeySetevoi/ansible-clickhouse,config_2_2,2.5
ansible-community/ansible-nomad,config_0_0,1.0
ansible-community/ansible-nomad,config_0_1,2.0
ansible-community/ansible-nomad,config_0_2,0.0
ansible-community/ansible-nomad,config_1_0,8.0
ansible-community/ansible-nomad,config_1_1,6.0
ansible-community/ansible-nomad,config_1_2,7.0
ansible-community/ansible-nomad,config_2_0,3.0
ansible-community/ansible-nomad,config_2_1,4.0
ansible-community/ansible-nomad,config_2_2,5.0
ansible-community/ansible-vault,config_0_0,2.5
ansible-community/ansible-vault,config_0_1,2.5
ansible-community/ansible-vault,config_0_2,2.5
ansible-community/ansible-vault,config_1_0,8.0
ansible-community/ansible-vault,config_1_1,6.5
ansible-community/ansible-vault,config_1_2,6.5
ansible-community/ansible-vault,config_2_0,2.5
ansible-community/ansible-vault,config_2_1,2.5
ansible-community/ansible-vault,config_2_2,2.5
ansible-lockdown/RHEL7-STIG,config_0_0,1.5
ansible-lockdown/RHEL7-STIG,config_0_1,1.5
ansible-lockdown/RHEL7-STIG,config_0_2,0.0
ansible-lockdown/RHEL7-STIG,config_1_0,6.0
ansible-lockdown/RHEL7-STIG,config_1_1,7.0
ansible-lockdown/RHEL7-STIG,config_1_2,8.0
ansible-lockdown/RHEL7-STIG,config_2_0,3.0
ansible-lockdown/RHEL7-STIG,config_2_1,4.5
ansible-lockdown/RHEL7-STIG,config_2_2,4.5
ansible-ThoTeam/nexus3-oss,config_0_0,2.0
ansible-ThoTeam/nexus3-oss,config_0_1,3.0
ansible-ThoTeam/nexus3-oss,config_0_2,0.0
ansible-ThoTeam/nexus3-oss,config_1_0,7.0
ansible-ThoTeam/nexus3-oss,config_1_1,6.0
ansible-ThoTeam/nexus3-oss,config_1_2,8.0
ansible-ThoTeam/nexus3-oss,config_2_0,5.0
ansible-ThoTeam/nexus3-oss,config_2_1,1.0
ansible-ThoTeam/nexus3-oss,config_2_2,4.0
ansistrano/deploy,config_0_0,2.0
ansistrano/deploy,config_0_1,1.0
ansistrano/deploy,config_0_2,0.0
ansistrano/deploy,config_1_0,8.0
ansistrano/deploy,config_1_1,5.0
ansistrano/deploy,config_1_2,6.0
ansistrano/deploy,config_2_0,7.0
ansistrano/deploy,config_2_1,4.0
ansistrano/deploy,config_2_2,3.0
anthcourtney/ansible-role-cis-amazon-linux,config_0_0,3.0
anthcourtney/ansible-role-cis-amazon-linux,config_0_1,1.0
anthcourtney/ansible-role-cis-amazon-linux,config_0_2,2.0
anthcourtney/ansible-role-cis-amazon-linux,config_1_0,8.0
anthcourtney/ansible-role-cis-amazon-linux,config_1_1,6.0
anthcourtney/ansible-role-cis-amazon-linux,config_1_2,7.0
anthcourtney/ansible-role-cis-amazon-linux,config_2_0,0.0
anthcourtney/ansible-role-cis-amazon-linux,config_2_1,4.5
anthcourtney/ansible-role-cis-amazon-linux,config_2_2,4.5
antoiner77/caddy-ansible,config_0_0,2.5
antoiner77/caddy-ansible,config_0_1,2.5
antoiner77/caddy-ansible,config_0_2,2.5
antoiner77/caddy-ansible,config_1_0,7.0
antoiner77/caddy-ansible,config_1_1,7.0
antoiner77/caddy-ansible,config_1_2,7.0
antoiner77/caddy-ansible,config_2_0,2.5
antoiner77/caddy-ansible,config_2_1,2.5
antoiner77/caddy-ansible,config_2_2,2.5
ANXS/postgresql,config_0_0,2.0
ANXS/postgresql,config_0_1,4.0
ANXS/postgresql,config_0_2,5.0
ANXS/postgresql,config_1_0,6.0
ANXS/postgresql,config_1_1,8.0
ANXS/postgresql,config_1_2,7.0
ANXS/postgresql,config_2_0,3.0
ANXS/postgresql,config_2_1,1.0
ANXS/postgresql,config_2_2,0.0
arillso/ansible.logrotate,config_0_0,6.5
arillso/ansible.logrotate,config_0_1,0.0
arillso/ansible.logrotate,config_0_2,6.5
arillso/ansible.logrotate,config_1_0,3.0
arillso/ansible.logrotate,config_1_1,3.0
arillso/ansible.logrotate,config_1_2,3.0
arillso/ansible.logrotate,config_2_0,3.0
arillso/ansible.logrotate,config_2_1,8.0
arillso/ansible.logrotate,config_2_2,3.0
automium/service-kubernetes,config_0_0,3.0
automium/service-kubernetes,config_0_1,4.0
automium/service-kubernetes,config_0_2,5.0
automium/service-kubernetes,config_1_0,7.0
automium/service-kubernetes,config_1_1,6.0
automium/service-kubernetes,config_1_2,8.0
automium/service-kubernetes,config_2_0,0.0
automium/service-kubernetes,config_2_1,1.5
automium/service-kubernetes,config_2_2,1.5
caktus/tequila-django,config_0_0,2.0
caktus/tequila-django,config_0_1,0.5
caktus/tequila-django,config_0_2,0.5
caktus/tequila-django,config_1_0,8.0
caktus/tequila-django,config_1_1,6.0
caktus/tequila-django,config_1_2,7.0
caktus/tequila-django,config_2_0,4.0
caktus/tequila-django,config_2_1,4.0
caktus/tequila-django,config_2_2,4.0
cloudalchemy/ansible-alertmanager,config_0_0,3.0
cloudalchemy/ansible-alertmanager,config_0_1,6.0
cloudalchemy/ansible-alertmanager,config_0_2,4.0
cloudalchemy/ansible-alertmanager,config_1_0,0.0
cloudalchemy/ansible-alertmanager,config_1_1,2.0
cloudalchemy/ansible-alertmanager,config_1_2,1.0
cloudalchemy/ansible-alertmanager,config_2_0,7.5
cloudalchemy/ansible-alertmanager,config_2_1,7.5
cloudalchemy/ansible-alertmanager,config_2_2,5.0
cloudalchemy/ansible-blackbox-exporter,config_0_0,4.0
cloudalchemy/ansible-blackbox-exporter,config_0_1,4.0
cloudalchemy/ansible-blackbox-exporter,config_0_2,4.0
cloudalchemy/ansible-blackbox-exporter,config_1_0,4.0
cloudalchemy/ansible-blackbox-exporter,config_1_1,4.0
cloudalchemy/ansible-blackbox-exporter,config_1_2,4.0
cloudalchemy/ansible-blackbox-exporter,config_2_0,4.0
cloudalchemy/ansible-blackbox-exporter,config_2_1,4.0
cloudalchemy/ansible-blackbox-exporter,config_2_2,4.0
cloudalchemy/ansible-grafana,config_0_0,0.5
cloudalchemy/ansible-grafana,config_0_1,0.5
cloudalchemy/ansible-grafana,config_0_2,2.0
cloudalchemy/ansible-grafana,config_1_0,6.0
